STOCK,RISK-ADJUSTED RESIDUAL
PFE,-44.83328336
AMX,-35.11075177
KO,-28.38459088
STT,-22.63197829
PM,-19.26977431
MAA,-17.62417914
ETR,-15.90420544
ENB,-14.80188407
UPS,-13.89045768
EIX,-13.57997299
MCD,-12.53197683
BMY,-11.90226418
LPL,-11.72951703
ED,-11.37385435
MO,-11.3655982
AWK,-11.09297885
KMB,-10.29017586
BBY,-10.10450377
ABEV,-9.971825
CPB,-9.695239697
MGM,-9.369017019
BNS,-8.9798385
NKE,-7.966801779
JNJ,-7.892472621
GGB,-7.290164048
HDB,-7.116821837
NOAH,-6.924957815
BHP,-6.737933937
TX,-5.908592801
PG,-5.846581469
HPQ,-5.805900227
MKC,-5.788827789
ELV,-5.766169323
CP,-5.630517951
CVX,-5.524208342
LMT,-5.493592371
UI,-5.449893121
VALE,-5.437603964
D,-5.263008831
EL,-5.172890436
BEN,-5.071522364
T,-4.944098733
NEM,-4.891801551
DUK,-4.890119025
CCI,-4.830609546
DAN,-4.758479193
TV,-4.472124655
DXC,-4.351803091
NEE,-4.284223456
SONY,-4.129792101
TMO,-4.00719772
BA,-3.903504195
MS,-3.686055648
V,-3.473859673
BYD,-3.384183512
VLRS,-3.270387519
WHR,-3.250120156
DE,-3.136386602
PLNT,-3.074594474
UNH,-3.04548661
PLD,-3.000981478
OMC,-2.973405772
SSL,-2.948929727
BABA,-2.85898349
SQM,-2.777819384
INFY,-2.772581252
AMT,-2.761077706
SKM,-2.726178637
BDX,-2.720156401
GOLD,-2.695093022
ACN,-2.222010742
MSCI,-2.15265164
PAC,-2.041786819
AU,-2.018063121
HRL,-2.015309402
TDOC,-2.011864691
TSN,-1.982933032
FVRR,-1.98281561
DG,-1.89111136
LHX,-1.864298737
AVAL,-1.858834166
RTX,-1.846859031
ALK,-1.733524942
SOL,-1.671058765
DHR,-1.582506605
MDT,-1.542473322
CHGG,-1.516067937
LUV,-1.497073363
DD,-1.496982436
NVS,-1.494482497
CHWY,-1.469329025
ZTS,-1.389539971
BB,-1.370142582
CHD,-1.348324861
MA,-1.294438997
MMM,-1.256866115
CIG,-1.204366888
XOM,-1.166351247
ABT,-1.019364941
BLK,-0.933161825
SE,-0.911653193
LUMN,-0.897774631
MRO,-0.844343637
SMAR,-0.784672242
BAX,-0.781281512
FDX,-0.767693197
NIO,-0.744974542
TEF,-0.737651054
CLX,-0.672381783
FL,-0.66283543
GFI,-0.599528957
CPRI,-0.583200949
FSLY,-0.49506448
DIS,-0.480706761
EPR,-0.396728038
SID,-0.386740358
DT,-0.371527484
SKX,-0.357366107
F,-0.306285985
MTZ,-0.255786186
KEP,-0.194283701
BSBR,-0.181138204
FLR,-0.144721579
SYK,-0.122683765
ELP,-0.083106787
TWLO,-0.081677629
UNP,-0.053217421
BURL,-0.050549294
FHN,-0.013312552
VZ,0.166318125
BBD,0.207895972
IBN,0.271967855
EBR,0.35856074
HP,0.372024689
BAK,0.40755007
SWK,0.417215277
SQ,0.470883971
BALL,0.507541468
SNOW,0.557360154
EC,0.598243132
FENG,0.60266334
KT,0.633796357
COP,0.664492322
SNAP,0.681630393
GPN,0.689971528
JMIA,0.716485836
PAM,0.79823475
JWN,0.816644967
RNG,0.81848078
HMY,0.827444146
SHOP,0.930767947
LIN,0.9988959
BSAC,1.029416823
RH,1.032022952
TEO,1.104008448
CVS,1.196204491
HUYA,1.250220603
DK,1.283353738
YPF,1.287079695
PLTR,1.383854822
MPC,1.386302714
ORCL,1.44084666
VIPS,1.530559217
TGS,1.562519499
GM,1.598845451
YELP,1.604631468
HOG,1.714622807
DAL,1.71748184
ERJ,1.871071336
BBAR,2.080218999
FTI,2.180283426
W,2.201160813
CWH,2.208323786
BVN,2.236989537
C,2.264943558
KMX,2.27041071
NET,2.27255212
TS,2.316152366
MRK,2.364583401
ABBV,2.395628055
GS,2.449132828
CNC,2.526585108
VIV,2.551473899
EDU,2.656759925
CVNA,2.6663895
KEY,2.728253223
LOW,2.744236614
CRM,2.767103166
AZO,2.824877276
J,2.944144846
BK,2.957461679
ANET,2.973452996
TAP,2.982640079
PINS,2.986952399
BRFS,3.032333186
WM,3.038737769
TEVA,3.087556715
PBR,3.102563683
AVY,3.229989519
CM,3.232959373
WIT,3.260287394
KOF,3.277929026
BX,3.499235836
HD,3.589822764
CX,3.642841004
SAN,3.675523404
TSM,3.871658789
WMT,3.883091969
ASX,3.906688834
CMG,4.048868278
AXP,4.231374281
UGP,4.492734764
SHAK,4.500598894
TFC,4.510175994
USB,4.517475506
NMR,4.524693603
CTRA,4.675734967
TJX,4.714024903
LRN,4.769523973
CMA,5.006497174
FMX,5.134145508
SBS,5.449356319
OC,5.592745029
CAT,5.603230347
THO,5.79280989
BBVA,5.835667961
BAC,6.049042054
PGR,6.128052946
CIB,6.269357162
CBOE,6.38303967
PNC,6.426241065
PSO,6.472042179
BSX,6.641721712
GRMN,6.73995904
NVR,6.76421301
TRV,7.042885335
TM,7.539808671
CB,7.595601334
MUFG,7.903012477
AIG,8.021980414
ECL,8.083130664
ITUB,8.282844771
NOW,8.350461366
HMC,8.402055499
SMFG,8.835398935
DLR,9.078398471
PH,9.38992823
DELL,10.27628992
IBM,11.10988853
GE,11.74507759
UBER,12.72172565
WFC,12.72900893
MAC,12.94941128
MFG,13.01933838
MLM,13.53668008
PNR,13.62916511
LLY,13.70611546
HLT,14.80489995
TDG,20.63077509
JPM,29.85648742
